species,name,group
Dog,Blue Lacy/Beagle,Herding; Hound
Dog,Dalmatian/Labrador Retriever,Non-Sporting; Sporting
Dog,Alaskan Husky,Working
Dog,Catahoula/Australian Cattle Dog,Herding; Toy
Dog,Cairn Terrier/Chihuahua Shorthair,Toy; Terrier
Dog,Standard Schnauzer/Toy Poodle,Non-Sporting; Toy; Working
Dog,Dachshund/Labrador Retriever,Sporting; Hound
Dog,English Bulldog/Staffordshire,Non-Sporting; Terrier
Dog,Shih Tzu,Toy
Dog,Golden Retriever/Dachshund,Sporting; Hound
Dog,Boston Terrier/Labrador Retriever,Non-Sporting; Sporting
Dog,Jack Russell Terrier/Whippet,Hound; Terrier
Dog,Boston Terrier/Chihuahua Shorthair,Non-Sporting; Toy
Dog,Otterhound Mix,Hound
Dog,Beagle/Whippet,Hound
Dog,Australian Shepherd/German Shepherd,Herding
Dog,Domestic Shorthair/Manx,Non-Sporting; Sporting
Dog,Dalmatian/Basset Hound,Non-Sporting; Hound
Dog,Flat Coat Retriever/Pit Bull,Sporting; Terrier
Dog,Redbone Hound/Redbone Hound,Hound
Dog,Vizsla/Rhod Ridgeback,Sporting; Hound
Dog,Australian Cattle Dog/Golden Retriever,Herding; Sporting
Dog,Great Pyrenees,Working
Dog,Lhasa Apso/Miniature Schnauzer,Non-Sporting; Terrier
Dog,Domestic Shorthair/Siamese,Sporting; Working
Dog,Bearded Collie Mix,Herding
Dog,Toy Fox Terrier/Yorkshire Terrier,Toy
Dog,Australian Cattle Dog/Australian Shepherd,Herding
Dog,German Pinscher Mix,Working
Dog,Papillon Mix,Toy
Dog,Staffordshire/Bull Terrier,Terrier
Dog,Rat Terrier/Dachshund,Hound; Terrier
Dog,Labrador Retriever/Border Terrier,Sporting; Terrier
Dog,Glen Of Imaal/Ibizan Hound,Hound; Terrier
Dog,Dachshund Wirehair/Norfolk Terrier,Hound; Terrier
Dog,West Highland,Terrier
Dog,Boxer/Rhod Ridgeback,Hound; Working
Dog,Labrador Retriever/Anatol Shepherd,Sporting; Working
Dog,Rottweiler/Australian Cattle Dog,Herding; Working
Dog,English Bulldog/Pit Bull,Non-Sporting; Terrier
Dog,Australian Shepherd/Rottweiler,Herding; Working
